id,currency,date,open,high,low,close,active
1,IRR,2002-08-07,1562,19207,15898,2912,False
2,SBD,1987-08-08,11637,2267,2557,23597,False
3,RSD,2016-05-07,3493,3790,19726,9995,True
4,TND,1992-06-17,10979,20191,16170,111,True
5,BMD,1988-05-19,6813,7463,9103,22347,False
6,MVR,1983-05-05,8633,8682,7709,20775,False
7,AOA,2021-03-08,5555,4614,5841,14539,False
8,PYG,1998-02-15,5227,12453,19168,395,True
9,CDF,2006-08-08,16961,21098,7233,12505,True
10,ERN,2017-08-05,12880,21303,19880,12874,True
11,MOP,2021-07-03,8025,16387,1100,8076,True
12,FKP,2015-12-22,2048,12678,3413,1225,True
13,NZD,2021-09-26,13773,10092,11627,4682,True
14,SLL,1988-02-28,21776,18268,4285,16527,True
15,CRC,1983-07-01,11707,10833,20596,471,True
16,UZS,2008-09-08,6505,5063,20165,15137,True
17,GTQ,1980-11-14,2571,21636,5304,7790,True
18,MNT,2006-07-28,5864,5068,2143,7545,True
19,TND,1972-07-18,1777,855,2853,15351,True
20,MWK,2022-01-19,17162,21325,6649,4724,False
21,XAF,2014-05-04,18409,17779,1669,17341,True
22,BAM,1976-10-28,19526,5686,13556,4372,True
23,RUB,1976-08-07,15187,14987,6420,17202,True
24,AOA,1982-05-24,2838,10474,6740,3355,True
25,PGK,1995-08-13,3712,10250,312,12179,False
26,CUC,2004-01-14,17613,23748,19331,1541,True
27,SRD,2012-02-06,22690,2203,23468,8862,True
28,NGN,2008-04-02,21658,19888,2853,3242,False
29,PGK,1971-03-08,14378,19706,22789,22255,False
30,COP,2021-10-28,1588,3684,23207,2461,False
31,JOD,2000-06-24,16269,22596,18123,21195,True
32,TOP,1985-01-02,22908,9027,3018,8606,False
33,BZD,1980-02-07,512,3254,8587,5625,True
34,KGS,2010-06-30,13747,9594,14001,3629,True
35,CRC,1984-03-05,16207,21250,11963,4464,True
36,CHF,2018-12-16,16963,4223,21677,23335,True
37,HRK,1993-08-11,18738,19653,11795,95,False
38,SHP,2007-07-04,15858,21864,9856,6837,False
39,USD,2020-02-04,3200,21314,21343,8568,False
40,TRY,1995-10-03,20232,22876,16694,17239,True
41,SDG,2007-11-18,11165,22657,22851,14770,True
42,XOF,2012-02-26,18130,14924,9030,419,True
43,IDR,2001-01-06,16587,22535,1388,15897,True
44,AZN,1989-10-17,4987,14100,13190,18365,True
45,DOP,1982-01-18,21817,21092,14961,18579,True
46,INR,1984-03-20,16839,20965,12443,9534,True
47,SGD,2007-05-22,23586,20459,6190,10073,True
48,NPR,1997-04-14,14078,9184,12421,22180,False
49,SCR,1999-12-20,6758,1820,9331,18867,False
50,TJS,2003-09-23,19234,16431,3930,11412,False
51,LAK,2007-05-04,14974,1642,16284,20305,False
52,ALL,1999-09-30,21710,17562,14253,11271,False
53,PHP,2015-07-26,4189,17142,15523,11027,True
54,VND,2002-03-21,12895,2692,14638,21488,False
55,RWF,1977-05-07,438,9346,19119,662,True
56,COP,1990-12-15,11657,20065,17209,23689,False
57,AFN,1986-04-15,8890,12789,1289,13354,False
58,TJS,2004-03-03,2733,22558,11378,17366,True
59,ISK,1980-07-30,1128,3070,14871,13828,True
60,SCR,1980-03-12,17234,18005,21107,1812,True
61,HRK,1994-07-17,14124,21175,8874,21700,True
62,TWD,1995-06-06,6399,18864,21449,23013,True
63,BRL,2007-07-19,2264,22060,2411,8324,True
64,HNL,2003-09-10,7132,21590,17518,3214,True
65,LTL,2003-09-21,21006,10100,12806,8372,True
66,IDR,2007-08-14,14371,14396,19057,7863,True
67,PYG,2018-12-30,8441,10869,9412,666,True
68,GMD,1997-04-27,7595,22599,14044,2258,True
69,LYD,2011-08-02,5375,5735,1538,19691,False
70,KRW,2014-05-27,7712,9510,5478,11858,False
71,UAH,1991-11-18,18261,7988,2017,800,False
72,FJD,1996-12-10,23526,7002,2859,8566,True
73,EGP,2014-01-21,9378,14028,16288,4699,True
74,CZK,1979-09-05,581,11809,4572,18057,True
75,BOB,2022-04-05,20109,8317,1376,21679,True
76,SLL,2014-07-13,16758,10645,9989,2877,True
77,PEN,1977-08-08,10659,1988,13045,11437,False
78,ERN,1999-05-27,17577,12994,9265,20945,True
79,IDR,1986-08-19,14609,6021,7986,19485,True
80,TZS,1978-01-04,14576,22226,19474,19285,True
81,MUR,2018-12-08,4651,4495,6778,3860,False
82,TZS,2012-03-11,12825,1717,6802,9760,True
83,SCR,1971-08-07,10831,20807,17439,22024,True
84,NIO,2010-08-01,3351,16328,10216,22168,True
85,GYD,1999-03-19,412,5382,14718,10503,True
86,SOS,2012-09-22,11674,20352,5760,16403,True
87,PYG,2005-05-17,19382,20291,1971,5453,False
88,BYR,2009-03-25,7036,23196,1621,3069,True
89,CHF,2002-04-01,13073,13507,13309,18377,False
90,LSL,2016-10-20,12980,10253,4988,13232,True
91,BDT,2003-11-06,15888,9599,4158,1421,True
92,SHP,2005-05-05,922,10167,3927,2408,False
93,MKD,1994-07-13,9830,23599,11113,10184,True
94,BGN,1979-12-29,19427,22424,19181,1150,True
95,MUR,2007-10-16,15312,18134,21521,1691,False
96,JOD,1973-10-31,725,34,12497,23714,False
97,BIF,1984-05-25,21905,440,9848,18264,False
98,JOD,1989-05-13,22923,22476,4376,5124,True
99,CUC,1976-04-15,19639,17349,15919,6501,True
100,GEL,1997-12-23,9564,13677,11234,9855,True
101,UYU,1974-07-26,4978,20575,19161,16496,True
102,RUB,1983-12-13,21107,9708,14989,1839,True
103,LAK,1999-12-13,12156,8852,15717,11751,False
104,ILS,2015-12-26,6074,3405,2719,514,True
105,BTN,1989-03-09,5246,13996,23964,13325,False
106,SLL,1981-11-28,11061,22319,12679,6838,True
107,GGP,1989-06-30,4700,15085,14190,6904,True
108,FJD,2007-02-27,11405,4328,19744,23788,True
109,GTQ,2019-09-04,2208,7427,296,248,True
110,SVC,2010-10-02,12933,14501,10304,17769,True
111,AED,2014-09-24,14233,23234,4814,2992,False
112,CZK,1995-08-17,17901,17265,9561,13163,False
113,BIF,2004-09-08,21330,18014,6130,5969,True
114,SCR,1999-07-08,13149,23367,20688,9839,True
115,PLN,2022-01-15,12120,1822,13244,17739,True
116,TTD,1995-08-18,22055,1345,8723,19346,True
117,LKR,2013-02-05,15078,1820,9286,7921,True
118,JMD,2019-07-05,9128,8437,12068,21239,True
119,SDG,2023-07-28,16675,11709,17656,4332,False
120,HRK,2007-12-08,13436,20190,16207,18083,True
121,PAB,1983-08-17,2159,23385,6156,19604,False
122,CUP,2003-06-06,6332,4438,3932,12560,False
123,BBD,1997-01-15,9137,10279,18826,11866,False
124,GMD,1981-06-21,15990,5481,19985,17008,True
125,PKR,1994-04-18,4779,19057,3535,16819,True
126,EUR,2011-07-07,8319,15958,8210,1307,True
127,STD,2015-08-11,8184,22736,5899,7510,True
128,SBD,2015-12-22,13309,2651,2710,16349,True
129,SDG,2017-11-26,6665,10786,11691,22360,True
130,HKD,2002-12-26,23046,11022,18270,7171,False
131,XPF,2001-04-09,19959,14047,22818,8302,True
132,STD,2009-12-27,21946,22982,11,1095,False
133,TVD,2019-04-18,14472,17202,23992,9646,False
134,PLN,2015-05-25,3439,14466,7905,15617,True
135,LAK,1981-01-10,6732,15592,6373,14152,True
136,ETB,2021-07-15,17614,16335,18107,18543,False
137,ZAR,2000-05-30,15998,16033,23207,14372,True
138,PLN,2017-08-31,4382,14214,4284,18175,False
139,JPY,1993-10-05,8068,11509,20730,21809,True
140,IRR,1996-04-26,13627,15738,1066,9142,False
141,NZD,2009-04-28,7691,1623,2912,22405,False
142,XAF,2017-08-26,371,23385,10438,4855,True
143,PAB,2001-08-11,15103,13672,20185,19025,True
144,HTG,2004-11-03,4118,17288,15277,14678,False
145,RWF,2002-02-11,14833,19120,22646,11854,True
146,GHS,2018-02-28,18772,16266,18147,10825,True
147,UZS,2002-06-26,10311,133,23222,19279,False
148,MVR,2015-03-29,23934,20712,4136,23191,True
149,NZD,1971-03-15,23432,19710,13435,3484,False
150,KPW,2012-03-21,17316,17139,22342,22688,False
151,CAD,1982-06-06,7590,542,21662,3829,True
152,BOB,2015-11-12,23185,8034,21581,17861,False
153,GYD,2002-10-12,20819,15561,18797,21021,True
154,COP,2017-06-23,12548,15991,9775,1135,True
155,INR,1985-02-19,2010,23738,22882,1596,True
156,PGK,2001-08-13,15894,21895,12987,20874,True
157,BWP,1974-04-08,14639,4304,2532,19321,True
158,VEF,1979-01-25,19870,20979,103,16413,False
159,THB,1993-06-07,17681,3070,5556,8082,True
160,BYR,2013-08-08,13149,5463,13480,20168,True
161,MRO,2004-08-30,17962,15775,8811,11530,True
162,NAD,1980-11-18,9812,18283,8928,16322,True
163,HTG,1985-02-14,10039,23991,5697,7370,False
164,KZT,2001-07-18,3722,23675,15972,7563,True
165,BND,1995-08-23,19593,1047,21129,9394,True
166,HKD,1981-05-07,6294,21712,2269,1394,True
167,ZWD,2009-07-21,8996,10958,14402,8016,False
168,LTL,2009-04-20,15547,15877,2604,959,True
169,AUD,1991-02-26,3851,6430,16940,13166,True
170,CNY,2014-10-09,23203,21496,18998,23444,True
171,CAD,2010-01-27,524,16642,17777,16945,True
172,AUD,1975-12-09,21989,22560,15174,15229,True
173,GNF,2017-01-01,12107,23511,13650,18634,True
174,KWD,2001-01-22,17632,2406,8222,9535,True
175,XCD,2018-08-17,18810,406,17589,5328,False
176,CHF,2014-02-12,23739,7972,5536,14404,False
177,NOK,1986-06-27,20024,22302,2612,21021,True
178,SHP,2022-11-04,12273,3415,963,19564,True
179,RUB,1998-03-15,8969,1863,588,18810,True
180,MYR,2011-06-06,13648,801,9185,11425,False
181,SYP,1982-04-25,23661,9228,5395,3839,True
182,BRL,1977-01-16,9040,20543,21452,17117,True
183,OMR,2001-02-27,8717,3384,10803,22120,False
184,XAF,2007-05-06,4438,18818,16794,22426,False
185,USD,1982-07-27,14201,6024,2441,18284,True
186,BTN,1980-03-31,12833,1131,8962,10361,True
187,NZD,1972-07-24,9845,5151,19888,18995,False
188,BAM,1992-11-25,19742,14603,4406,14303,True
189,MWK,1998-02-22,7067,19012,23578,23831,True
190,CVE,1999-08-05,21297,7238,3794,4690,True
191,TTD,2001-04-04,22489,23779,20046,12496,False
192,KWD,2003-03-02,14611,4610,13337,2165,True
193,ERN,1973-03-25,22964,20980,307,17547,True
194,OMR,1977-09-22,7215,14616,4056,3511,True
195,JOD,1986-01-11,5997,3225,21624,3860,True
196,TRY,1983-07-29,15423,17687,21987,2542,False
197,GIP,2009-11-24,10023,23094,22888,10409,False
198,ZWD,2010-03-07,2577,7703,15192,3904,True
199,KHR,1982-01-24,9197,2565,5768,21267,False
200,HKD,1989-08-24,7847,15291,22530,854,False
201,CDF,1997-06-19,3161,3692,16772,8958,True
202,YER,2007-06-04,4183,5566,10181,22522,True
203,UGX,1980-04-06,9168,10165,13136,19888,True
204,UAH,1995-07-07,15260,11160,1629,18470,False
205,KPW,1970-04-04,23014,17198,16881,892,True
206,SYP,1990-06-05,22617,1946,15902,16964,True
207,MVR,1978-06-20,7568,1360,20430,18555,False
208,MUR,1979-05-28,8284,17280,15280,10108,True
209,BAM,2019-04-27,23314,9019,23904,8453,True
210,GNF,1994-05-21,3008,20513,261,21770,False
211,UZS,1985-12-27,1169,3265,12500,7003,True
212,LSL,1980-08-06,17822,2512,8977,2524,True
213,BRL,1999-02-01,15938,484,15200,11061,True
214,BDT,1984-01-07,15776,13307,23189,15846,True
